date,numflights,totaldelay,avgdelay,numdelay15
8/18/2003,2179,9434,11,267
8/19/2003,2169,6409,-3,212
8/20/2003,2171,7421,0,233
8/21/2003,2178,4826,-4,234
8/22/2003,2175,11493,-2,333
8/23/2003,1897,1829,-1,149
8/24/2003,2117,3392,-4,187
8/25/2003,2179,4256,7,247
8/26/2003,2166,50313,40,486
8/27/2003,2171,31019,0,537
8/28/2003,2180,26423,-1,447
8/29/2003,2174,24393,-6,488
8/30/2003,1755,6464,-2,205
8/31/2003,1801,-1589,0,99
2/1/1999,1863,21783,4,390
2/2/1999,1864,10537,27,218
2/3/1999,1867,4302,0,142
2/4/1999,1865,5012,-1,162
2/5/1999,1866,8647,-1,192
2/6/1999,1688,13894,-2,281
2/7/1999,1785,16596,8,270
2/8/1999,1863,16287,5,302
2/9/1999,1864,8660,-2,156
2/10/1999,1866,15437,-1,167
2/11/1999,1865,28774,0,324
2/12/1999,1867,25180,0,351
2/13/1999,1559,8636,85,159
2/14/1999,1668,7302,0,139
2/15/1999,1758,3917,-4,120
2/16/1999,1864,7226,-4,156
2/17/1999,1865,10794,-2,224
2/18/1999,1865,13547,91,230
2/19/1999,1865,10121,1,197
2/20/1999,1686,9803,14,188
2/21/1999,1789,9848,-1,213
2/22/1999,1862,9250,-6,195
2/23/1999,1862,10004,-5,235
2/24/1999,1866,14348,19,301
2/25/1999,1865,12451,1,234
2/26/1999,1864,18187,-1,321
2/27/1999,1685,10051,11,223
2/28/1999,1788,16417,0,283
12/1/2000,2108,20940,16,403
12/2/2000,1936,6143,0,171
12/3/2000,2031,12314,-4,265
12/4/2000,2103,10009,-1,232
12/5/2000,2103,6135,-1,178
12/6/2000,2105,12162,-2,315
12/7/2000,2105,24202,0,453
12/8/2000,2105,20980,7,416
12/9/2000,1938,6662,2,176
12/10/2000,2028,14961,6,354
12/11/2000,2094,17105,-2,314
12/12/2000,2100,18644,0,376
12/13/2000,2104,31694,1,478
12/14/2000,2099,45474,0,769
12/15/2000,2122,50730,-2,690
12/16/2000,1940,28427,134,454
12/17/2000,2025,31497,14,392
12/18/2000,2135,35396,-7,475
12/19/2000,2136,33016,-1,630
12/20/2000,2135,64406,0,812
12/21/2000,2134,71043,10,966
12/22/2000,2121,58580,91,892
12/23/2000,1913,40602,7,630
12/24/2000,1893,13875,0,278
12/25/2000,2050,25064,-4,443
12/26/2000,2124,37564,0,662
12/27/2000,2133,50187,11,843
12/28/2000,2131,42097,0,756
12/29/2000,2124,48594,9,658
12/30/2000,1925,38374,82,518
12/31/2000,1959,49570,95,640
8/1/1994,2036,16986,0,214
8/2/1994,2046,6507,-1,124
8/3/1994,2008,14045,25,222
8/4/1994,2029,12390,27,247
8/5/1994,2018,8303,-3,194
8/6/1994,1964,2113,0,53
8/7/1994,2013,46156,6,385
8/8/1994,2023,7967,9,152
8/9/1994,2061,2250,1,70
8/10/1994,1993,2794,1,88
8/11/1994,2036,2336,0,54
8/12/1994,2033,6360,-3,160
8/13/1994,1949,7172,17,176
8/14/1994,1985,11498,-1,194
8/15/1994,2020,3263,-1,68
8/16/1994,2029,3315,-1,77
8/17/1994,2018,2920,7,84
8/18/1994,2023,3514,-2,87
8/19/1994,2013,14721,28,176
8/20/1994,1948,22835,25,307
8/21/1994,2000,10463,2,180
8/22/1994,2058,8410,-2,135
8/23/1994,2034,1486,0,48
8/24/1994,2020,857,-4,47
8/25/1994,2031,1942,1,66
8/26/1994,2023,572,0,42
8/27/1994,1952,1955,1,88
8/28/1994,1981,9591,-1,210
8/29/1994,2029,686,-1,40
8/30/1994,2033,2896,3,105
8/31/1994,2035,29036,57,247
12/1/1991,2076,14728,1,377
12/2/1991,2078,20246,12,442
12/3/1991,2077,31137,0,579
12/4/1991,2075,5907,2,131
12/5/1991,2077,4821,16,101
12/6/1991,2131,7567,-1,178
12/7/1991,1913,2692,-1,54
12/8/1991,2079,6994,-1,153
12/9/1991,2128,2273,-1,59
12/10/1991,2139,15469,-2,200
12/11/1991,2126,25296,-1,513
12/12/1991,2134,19125,1,353
12/13/1991,2129,4642,0,89
12/14/1991,1893,4559,-1,102
12/15/1991,2065,3878,-1,87
12/16/1991,2135,3039,-2,74
12/17/1991,2121,3577,0,83
12/18/1991,2146,20317,3,470
12/19/1991,2139,38255,50,726
12/20/1991,2126,83669,42,1080
12/21/1991,2146,52606,19,994
12/22/1991,2129,50376,1,1091
12/23/1991,2157,6583,6,127
12/24/1991,1939,2771,-1,63
12/25/1991,2116,1681,-1,42
12/26/1991,2137,5167,0,93
12/27/1991,2132,6921,-1,126
12/28/1991,2111,6749,-1,146
12/29/1991,2096,10219,-1,203
12/30/1991,2146,6177,-2,120
12/31/1991,2137,3116,35,76
6/1/1989,2038,43321,-1,644
6/2/1989,2018,10800,2,201
6/3/1989,2013,20440,-1,413
6/4/1989,1965,18700,6,366
