year,state,people,,Sum of people,Column Labels,,,,,,,,,,,,,,
1995,AK,1880,,Row Labels,AK,AZ,CA,ID,ME,MI,MN,MT,ND,NM,NY,TX,VT,WA,Grand Total
1995,ND,9044,,,,,,,,,,,,,,,,,
1995,ND,8442,,,,,,,,,,,,,,,,,
1995,ND,3079,,,,,,,,,,,,,,,,,
1995,ND,57033,,,,,,,,,,,,,,,,,
1995,ND,32454,,,,,,,,,,,,,,,,,
1995,ND,1107,,,,,,,,,,,,,,,,,
1995,ND,3690,,,,,,,,,,,,,,,,,
1995,ND,4335,,,,,,,,,,,,,,,,,
1995,ND,5829,,,,,,,,,,,,,,,,,
1995,ND,1816,,,,,,,,,,,,,,,,,
1995,VT,13828,,,,,,,,,,,,,,,,,
1995,VT,129798,,,,,,,,,,,,,,,,,
1995,VT,78200,,,,,,,,,,,,,,,,,
1995,VT,11994,,,,,,,,,,,,,,,,,
1995,VT,24853,,,,,,,,,,,,,,,,,
1995,WA,862209,,,,,,,,,,,,,,,,,
1995,WA,10631,,,,,,,,,,,,,,,,,
1995,WA,15088,,,,,,,,,,,,,,,,,
1995,WA,2261,,,,,,,,,,,,,,,,,
1995,WA,8701,,,,,,,,,,,,,,,,,
1995,WA,10077,,,,,,,,,,,,,,,,,
1995,WA,142727,,,,,,,,,,,,,,,,,
1995,WA,6814,,,,,,,,,,,,,,,,,
1995,WA,1954,,,,,,,,,,,,,,,,,
1995,WA,62364,,,,,,,,,,,,,,,,,
1995,WA,204805,,,,,,,,,,,,,,,,,
1995,WA,270311,,,,,,,,,,,,,,,,,
1995,AZ,378124,,,,,,,,,,,,,,,,,
1995,AZ,87059,,,,,,,,,,,,,,,,,
1995,AZ,62371,,,,,,,,,,,,,,,,,
1995,AZ,1110101,,,,,,,,,,,,,,,,,
1995,AZ,4745,,,,,,,,,,,,,,,,,
1995,AZ,687166,,,,,,,,,,,,,,,,,
1995,CA,217791,,,,,,,,,,,,,,,,,
1995,CA,2328014,,,,,,,,,,,,,,,,,
1995,CA,981356,,,,,,,,,,,,,,,,,
1995,CA,320269,,,,,,,,,,,,,,,,,
1995,NM,49645,,,,,,,,,,,,,,,,,
1995,TX,1482487,,,,,,,,,,,,,,,,,
1995,TX,416230,,,,,,,,,,,,,,,,,
1995,TX,546567,,,,,,,,,,,,,,,,,
1995,TX,3566087,,,,,,,,,,,,,,,,,
1995,TX,154174,,,,,,,,,,,,,,,,,
1995,TX,1888648,,,,,,,,,,,,,,,,,
1995,TX,1583658,,,,,,,,,,,,,,,,,
1995,TX,125795,,,,,,,,,,,,,,,,,
1995,TX,279342,,,,,,,,,,,,,,,,,
1995,TX,150390,,,,,,,,,,,,,,,,,
1995,TX,378349,,,,,,,,,,,,,,,,,
1995,TX,3565087,,,,,,,,,,,,,,,,,
1995,AK,12035,,,,,,,,,,,,,,,,,
1995,AK,3762,,,,,,,,,,,,,,,,,
1995,AK,16965,,,,,,,,,,,,,,,,,
1995,ID,20868,,,,,,,,,,,,,,,,,
1995,ID,33880,,,,,,,,,,,,,,,,,
1995,ME,42284,,,,,,,,,,,,,,,,,
1995,ME,312269,,,,,,,,,,,,,,,,,
1995,ME,51620,,,,,,,,,,,,,,,,,
1995,ME,60326,,,,,,,,,,,,,,,,,
1995,ME,103398,,,,,,,,,,,,,,,,,
1995,ME,28510,,,,,,,,,,,,,,,,,
1995,ME,9537,,,,,,,,,,,,,,,,,
1995,ME,173309,,,,,,,,,,,,,,,,,
1995,ME,2139,,,,,,,,,,,,,,,,,
1995,ME,82233,,,,,,,,,,,,,,,,,
1995,ME,15178,,,,,,,,,,,,,,,,,
1995,MI,1691679,,,,,,,,,,,,,,,,,
1995,MI,484434,,,,,,,,,,,,,,,,,
1995,MI,402898,,,,,,,,,,,,,,,,,
1995,MN,42612,,,,,,,,,,,,,,,,,
