year,state,percent insured,,Sum of percent insured,Column Labels,,,,,,State,2008,2009,2010,2012,2013,,
2012,California,80,,,,,,,,,,,,,,,,
2012,Colorado,83.3,,,,,,,,,,,,,,,,
2012,Connecticut,89.5,,,,,,,,,,,,,,,,
2012,Delaware,89.7,,,,,,,,,,,,,,,,
2012,District of Columbia,93,,,,,,,,,,,,,,,,
2012,Florida,75.9,,,,,,,,,,,,,,,,
2012,Georgia,79.3,,,,,,,,,,,,,,,,
2012,Hawaii,92.2,,,,,,,,,,,,,,,,
2012,Idaho,81.5,,,,,,,,,,,,,,,,
2012,Illinois,85.4,,,,,,,,,,,,,,,,
2012,Indiana,83.4,,,,,,,,,,,,,,,,
2012,Iowa,90.1,,,,,,,,,,,,,,,,
2012,Kansas,85.6,,,,,,,,,,,,,,,,
2012,Kentucky,83.8,,,,,,,,,,,,,,,,
2012,Louisiana,80.6,,,,,,,,,,,,,,,,
2012,Maine,87.6,,,,,,,,,,,,,,,,
2012,Maryland,88.2,,,,,,,,,,,,,,,,
2012,Massachusetts,95.5,,,,,,,,,,,,,,,,
2012,Michigan,86.6,,,,,,,,,,,,,,,,
2012,Minnesota,90.8,,,,,,,,,,,,,,,,
2012,Mississippi,80.3,,,,,,,,,,,,,,,,
2012,Missouri,84.2,,,,,,,,,,,,,,,,
2012,Montana,78.4,,,,,,,,,,,,,,,,
2012,Nebraska,87.1,,,,,,,,,,,,,,,,
2012,Nevada,75.5,,,,,,,,,,,,,,,,
2012,New Hampshire,87.4,,,,,,,,,,,,,,,,
2012,New Jersey,85.4,,,,,,,,,,,,,,,,
2012,New Mexico,78.5,,,,,,,,,,,,,,,,
2012,New York,87.4,,,,,,,,,,,,,,,,
2012,North Carolina,81,,,,,,,,,,,,,,,,
2012,North Dakota,88,,,,,,,,,,,,,,,,
2012,Ohio,86.5,,,,,,,,,,,,,,,,
2012,Oklahoma,78.6,,,,,,,,,,,,,,,,
2012,Oregon,82.6,,,,,,,,,,,,,,,,
2012,Pennsylvania,88.3,,,,,,,,,,,,,,,,
2012,Rhode Island,87.2,,,,,,,,,,,,,,,,
2012,South Carolina,80.2,,,,,,,,,,,,,,,,
2012,South Dakota,86.4,,,,,,,,,,,,,,,,
2012,Tennessee,83.8,,,,,,,,,,,,,,,,
2012,Texas,74.8,,,,,,,,,,,,,,,,
2012,Utah,84.3,,,,,,,,,,,,,,,,
2012,Vermont,92.1,,,,,,,,,,,,,,,,
2012,Virginia,85.8,,,,,,,,,,,,,,,,
2012,Washington,84.2,,,,,,,,,,,,,,,,
2012,West Virginia,82.4,,,,,,,,,,,,,,,,
2012,Wisconsin,89.6,,,,,,,,,,,,,,,,
2012,Wyoming,82.7,,,,,,,,,,,,,,,,
2013,Alabama,84.1,,,,,,,,,,,,,,,,
2013,Alaska,79.2,,,,,,,,,,,,,,,,
2013,Arizona,80,,,,,,,,,,,,,,,,
2013,Arkansas,81.2,,,,,,,,,,,,,,,,
2013,California,80.6,,,,,,,,,,,,,,,,
2013,Colorado,84,,,,,,,,,,,,,,,,
2013,Connecticut,89.1,,,,,,,,,,,,,,,,
2013,Delaware,89.1,,,,,,,,,,,,,,,,
2013,District of Columbia,92.4,,,,,,,,,,,,,,,,
2013,Florida,75.7,,,,,,,,,,,,,,,,
2013,Georgia,78.9,,,,,,,,,,,,,,,,
2013,Hawaii,92.4,,,,,,,,,,,,,,,,
2013,Idaho,81.2,,,,,,,,,,,,,,,,
2013,Illinois,85.4,,,,,,,,,,,,,,,,
2013,Indiana,83.9,,,,,,,,,,,,,,,,
2013,Iowa,90.4,,,,,,,,,,,,,,,,
2013,Kansas,85.9,,,,,,,,,,,,,,,,
2013,Kentucky,83.2,,,,,,,,,,,,,,,,
2013,Louisiana,80.9,,,,,,,,,,,,,,,,
2013,Maine,86.5,,,,,,,,,,,,,,,,
2013,Maryland,88.3,,,,,,,,,,,,,,,,
2013,Massachusetts,95.7,,,,,,,,,,,,,,,,
2013,Michigan,87.1,,,,,,,,,,,,,,,,
2013,Minnesota,90.5,,,,,,,,,,,,,,,,
2013,Mississippi,80,,,,,,,,,,,,,,,,
2013,Missouri,84.7,,,,,,,,,,,,,,,,
2013,Montana,80,,,,,,,,,,,,,,,,
2013,Nebraska,87.1,,,,,,,,,,,,,,,,
2013,Nevada,76.8,,,,,,,,,,,,,,,,
2013,New Hampshire,87.2,,,,,,,,,,,,,,,,
2013,New Jersey,85,,,,,,,,,,,,,,,,
2013,New Mexico,78.1,,,,,,,,,,,,,,,,
2013,New York,87.6,,,,,,,,,,,,,,,,
2013,North Carolina,81.9,,,,,,,,,,,,,,,,
2013,North Dakota,87.7,,,,,,,,,,,,,,,,
2013,Ohio,87,,,,,,,,,,,,,,,,
2013,Oklahoma,79.4,,,,,,,,,,,,,,,,
2013,Oregon,82.8,,,,,,,,,,,,,,,,
2013,Pennsylvania,88.4,,,,,,,,,,,,,,,,
2013,Rhode Island,86.2,,,,,,,,,,,,,,,,
2013,South Carolina,81.4,,,,,,,,,,,,,,,,
2013,South Dakota,87.2,,,,,,,,,,,,,,,,
2013,Tennessee,83.8,,,,,,,,,,,,,,,,
2013,Texas,75.2,,,,,,,,,,,,,,,,
2013,Utah,84.7,,,,,,,,,,,,,,,,
2013,Vermont,91.3,,,,,,,,,,,,,,,,
2013,Virginia,86,,,,,,,,,,,,,,,,
2013,Washington,84.1,,,,,,,,,,,,,,,,
2013,West Virginia,82.9,,,,,,,,,,,,,,,,
2013,Wisconsin,89.4,,,,,,,,,,,,,,,,
2013,Wyoming,84.2,,,,,,,,,,,,,,,,
